MPIO_CNMBR_ORIG,MPIO_CNMBR,name_norm,lat,lon
AGUADA,AGUADA,AGUADA,6.182208476447883,-73.53038540905288
ALBANIA,ALBANIA,ALBANIA,5.778073390662766,-73.8284597354676
ARATOCA,ARATOCA,ARATOCA,6.71676658522054,-73.01162696965005
BARBOSA,BARBOSA,BARBOSA,5.955617327177398,-73.62345229230657
BARICHARA,BARICHARA,BARICHARA,6.647062543408988,-73.2151846630855
BARRANCABERMEJA,BARRANCABERMEJA,BARRANCABERMEJA,7.054074557877321,-73.7821164605652
BETULIA,BETULIA,BETULIA,7.013204058147616,-73.38743520844245
CABRERA,CABRERA,CABRERA,6.562543673469556,-73.25034892249003
CALIFORNIA,CALIFORNIA,CALIFORNIA,7.353288084126767,-72.92634432625414
CAPITANEJO,CAPITANEJO,CAPITANEJO,6.520200094884295,-72.6743520259307
CARCASÍ,CARCASÍ,CARCASI,6.659675273787899,-72.56968433893891
CEPITÁ,CEPITÁ,CEPITA,6.752465533065519,-72.92924629030028
CERRITO,CERRITO,CERRITO,6.903923172534567,-72.6453632444754
CHARALÁ,CHARALÁ,CHARALA,6.195551946443678,-73.15401065480586
CHARTA,CHARTA,CHARTA,7.258964401041483,-72.98787879966979
CHIMA,CHIMA,CHIMA,6.37267718122589,-73.41476120767425
CHIPATÁ,CHIPATÁ,CHIPATA,6.067944657880139,-73.63239131677493
CIMITARRA,CIMITARRA,CIMITARRA,6.409729609983171,-74.17030426870559
CONCEPCIÓN,CONCEPCIÓN,CONCEPCION,6.784531168934418,-72.60571610904383
CONFINES,CONFINES,CONFINES,6.3556206934577535,-73.23985271831035
RIONEGRO,RIONEGRO,RIONEGRO,7.474226084737034,-73.37246417200224
SABANA DE TORRES,SABANA DE TORRES,SABANA DE TORRES,7.406542199775017,-73.57131807374688
SAN ANDRÉS,SAN ANDRÉS,SAN ANDRES,6.796483062926234,-72.81613202340532
SAN BENITO,SAN BENITO,SAN BENITO,6.101681204141681,-73.52749050330267
SAN GIL,SAN GIL,SAN GIL,6.550778765047126,-73.11887911125669
SAN JOAQUÍN,SAN JOAQUÍN,SAN JOAQUIN,6.459879822592834,-72.85471883043833
SAN JOSÉ DE MIRANDA,SAN JOSÉ DE MIRANDA,SAN JOSE DE MIRANDA,6.629400184931927,-72.73976422727256
SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,6.56812154134277,-72.64322496804193
SAN VICENTE DE CHUCURÍ,SAN VICENTE DE CHUCURÍ,SAN VICENTE DE CHUCURI,6.8942923464177355,-73.5390033362372
SANTA BÁRBARA,SANTA BÁRBARA,SANTA BARBARA,6.9880847109021325,-72.89608933423082
SANTA HELENA DEL OPÓN,SANTA HELENA DEL OPÓN,SANTA HELENA DEL OPON,6.408907340221348,-73.58206608873769
SIMACOTA,SIMACOTA,SIMACOTA,6.648100440098582,-73.69011693450297
SOCORRO,SOCORRO,SOCORRO,6.4620882408034905,-73.2443600089441
SUAITA,SUAITA,SUAITA,6.114763045695345,-73.36621182860151
SUCRE,SUCRE,SUCRE,5.983203734126011,-73.95936235391693
SURATÁ,SURATÁ,SURATA,7.475402063331322,-72.9877996588763
TONA,TONA,TONA,7.170891098825919,-72.93970443293833
VALLE DE SAN JOSÉ,VALLE DE SAN JOSÉ,VALLE DE SAN JOSE,6.434578918932974,-73.109971709623
VÉLEZ,VÉLEZ,VELEZ,6.220565422436419,-73.70244956114205
VETAS,VETAS,VETAS,7.322219563009837,-72.88156900496767
VILLANUEVA,VILLANUEVA,VILLANUEVA,6.685867326175931,-73.16396916022288
ZAPATOCA,ZAPATOCA,ZAPATOCA,6.8346267053366265,-73.27975978623098
JORDÁN,JORDÁN,JORDAN,6.7137797172395315,-73.09961318121987
LA BELLEZA,LA BELLEZA,LA BELLEZA,5.910232645707692,-74.05072489331013
LANDÁZURI,LANDÁZURI,LANDAZURI,6.331501720824873,-73.81868089928867
LA PAZ,LA PAZ,LA PAZ,6.2173743696696455,-73.62977195142771
LEBRIJA,LEBRIJA,LEBRIJA,7.204060063101941,-73.29138097391167
LOS SANTOS,LOS SANTOS,LOS SANTOS,6.812162934437221,-73.10785085711441
MACARAVITA,MACARAVITA,MACARAVITA,6.51374530285743,-72.58536491923887
MÁLAGA,MÁLAGA,MALAGA,6.7202223485807275,-72.7384109144678
MATANZA,MATANZA,MATANZA,7.348778318688795,-73.05438997331294
MOGOTES,MOGOTES,MOGOTES,6.492532315439759,-72.95834772424716
MOLAGAVITA,MOLAGAVITA,MOLAGAVITA,6.643290559485189,-72.81916273930827
OCAMONTE,OCAMONTE,OCAMONTE,6.355368857511719,-73.12211833097838
OIBA,OIBA,OIBA,6.225596216201667,-73.27961515266009
ONZAGA,ONZAGA,ONZAGA,6.335194547530004,-72.81205837624954
PALMAR,PALMAR,PALMAR,6.5247539937018635,-73.28900670946477
PALMAS DEL SOCORRO,PALMAS DEL SOCORRO,PALMAS DEL SOCORRO,6.3917501070888205,-73.28273174333953
PÁRAMO,PÁRAMO,PARAMO,6.416631130696065,-73.17148231947878
PINCHOTE,PINCHOTE,PINCHOTE,6.513892625667324,-73.17570986336548
PUENTE NACIONAL,PUENTE NACIONAL,PUENTE NACIONAL,5.831129905570026,-73.67841815283963
PUERTO PARRA,PUERTO PARRA,PUERTO PARRA,6.685278856436223,-73.95761255784353
PUERTO WILCHES,PUERTO WILCHES,PUERTO WILCHES,7.5771607259486915,-73.78383435617764
CONTRATACIÓN,CONTRATACIÓN,CONTRATACION,6.303116610997397,-73.50211527264493
COROMORO,COROMORO,COROMORO,6.234735779234051,-72.98176802470158
CURITÍ,CURITÍ,CURITI,6.618344598008983,-73.01872450909417
EL CARMEN DE CHUCURI,EL CARMEN DE CHUCURI,EL CARMEN DE CHUCURI,6.664260001696442,-73.56475287601958
EL GUACAMAYO,EL GUACAMAYO,EL GUACAMAYO,6.253547976586364,-73.5359115059989
EL PLAYÓN,EL PLAYÓN,EL PLAYON,7.52428472128424,-73.18158191583382
ENCINO,ENCINO,ENCINO,6.079061223670608,-73.06206664883344
ENCISO,ENCISO,ENCISO,6.658241150459404,-72.68027938940443
FLORIÁN,FLORIÁN,FLORIAN,5.801106290591612,-73.95524930750953
GALÁN,GALÁN,GALAN,6.67181099358388,-73.32467124299824
GÁMBITA,GÁMBITA,GAMBITA,5.924383557719759,-73.31939933582179
GUACA,GUACA,GUACA,6.943434099887992,-72.82369873316824
GUADALUPE,GUADALUPE,GUADALUPE,6.2332782476356225,-73.40977445251137
GUAPOTÁ,GUAPOTÁ,GUAPOTA,6.319299865051612,-73.33115275162557
GUAVATÁ,GUAVATÁ,GUAVATA,5.944894844313846,-73.72173670728917
GÜEPSA,GÜEPSA,GUEPSA,6.0333738735537334,-73.57899508757738
HATO,HATO,HATO,6.559878298829741,-73.36178840526955
JESÚS MARÍA,JESÚS MARÍA,JESUS MARIA,5.8542882339268445,-73.82342217459387
GIRÓN,GIRÓN,GIRON,7.036680245298026,-73.24872523569533
FLORIDABLANCA,FLORIDABLANCA,FLORIDABLANCA,7.079704597717851,-73.0679925029952
BOLÍVAR,BOLÍVAR,BOLIVAR,6.093691313437234,-74.11340191657749
EL PEÑÓN,EL PEÑÓN,EL PENON,6.096726217483942,-73.9271822883388
PIEDECUESTA,PIEDECUESTA,PIEDECUESTA,6.962456082109276,-73.00517172522251
BUCARAMANGA,BUCARAMANGA,BUCARAMANGA,7.155833543735338,-73.11156997119552
